Afghanistan,0.78227
Albania,1
Algeria,1
American Samoa,0.99733
Andorra,1
Angola,1
Antigua and Barbuda,1
Argentina,1
Armenia,0.83506
Aruba,0.92046
Australia,1
Austria,1
Azerbaijan,1
"Bahamas, The",1
Bahrain,1
Bangladesh,0.31988
Barbados,1
Belarus,1
Belgium,1
Belize,0.69565
Benin,0.89188
Bermuda,0.94483
Bhutan,0.88
Bolivia,1
Bosnia and Herzegovina,1
Botswana,0.9878
Brazil,1
British Virgin Islands,0.90498
Brunei Darussalam,0.94885
Bulgaria,1
Burkina Faso,0.28765
Burundi,0.54564
Cabo Verde,1
Cambodia,0.026689
Cameroon,0.50312
Canada,1
Cayman Islands,0.88893
Central African Republic,0.28857
Chad,0.064815
Channel Islands,0.99038
Chile,0.84989
China,1
Colombia,0.58534
Comoros,0.8212
"Congo, Dem. Rep.",0.98
Congo,0.86567
Costa Rica,0.6087
Côte d’Ivoire,0.72
Croatia,1
Cuba,1
Curaçao,0.92019
Cyprus,1
Czech Republic,1
Denmark,1
Djibouti,1
Dominica,1
Dominican Republic,0.26354
Ecuador,1
"Egypt, Arab Rep.",0.72156
El Salvador,1
Equatorial Guinea,1
Eritrea,0.89493
Estonia,1
Eswatini,0.69729
Ethiopia,0.18615
Faroe Islands,0.99038
Fiji,0.98967
Finland,1
France,1
French Polynesia,0.99462
Gabon,0.99216
"Gambia, The",0.9181
Georgia,1
Germany,1
Ghana,0.58808
Gibraltar,0.99038
Greece,1
Greenland,0.99038
Grenada,1
Guam,0.99548
Guatemala,0.19416
Guinea,0.50416
Guinea-Bissau,0.47051
Guyana,0.36051
Haiti,0.7935
Honduras,0.19801
"Hong Kong SAR, China",0.99548
Hungary,1
Iceland,1
India,0.3
Indonesia,0.2323
Iran (Islamic Republic of),0.96232
Iraq,0.98853
Ireland,1
Isle of Man,0.99038
Israel,0.95277
Italy,1
Jamaica,0.99395
Japan,1
Jordan,1
Kazakhstan,1
Kenya,0.57234
Kiribati,1
"Korea, Dem. People's Rep.",0.65807
"Korea, Rep.",1
Kosovo,0.74246
Kuwait,1
Kyrgyz Republic,1
Lao PDR,0.19809
Latvia,1
Lebanon,1
Lesotho,0.75997
Liberia,0.70075
Libya,1
Liechtenstein,1
Lithuania,1
Luxembourg,1
"Macao SAR, China",0.99548
Madagascar,0.26302
Malawi,0.17794
Malaysia,1
Maldives,1
Mali,0.61691
Malta,1
Marshall Islands,1
Mauritania,0.65495
Mauritius,0.97231
Mexico,0.50812
"Micronesia, Fed. Sts.",0.97351
Moldova,1
Monaco,1
Mongolia,1
Montenegro,1
Morocco,0.99501
Mozambique,0.61032
Myanmar,0.9821
Namibia,0.91728
Nauru,1
Nepal,0.36
Netherlands,1
New Caledonia,0.9972
New Zealand,1
Nicaragua,1
Niger,0.80792
Nigeria,0.52396
North Macedonia,1
Northern Mariana Islands,0.99548
Norway,1
Oman,0.8956
Pakistan,0.30589
Palau,1
Panama,0.80588
Papua New Guinea,0.95227
Paraguay,0.28727
Peru,0.26386
Philippines,0.37731
Poland,1
Portugal,1
Puerto Rico,0.89639
Qatar,1
Romania,0.7748
Russian Federation,1
Rwanda,0.49435
Samoa,1
San Marino,1
Sao Tome and Principe,1
Saudi Arabia,1
Senegal,0.57094
Serbia,0.72714
Seychelles,1
Sierra Leone,0.5174
Singapore,1
Sint Maarten (Dutch part),0.92019
Slovak Republic,1
Slovenia,1
Solomon Islands,0.74849
Somalia,1
South Africa,0.75964
South Sudan,1
Spain,0.97596
Sri Lanka,0.49
St. Kitts and Nevis,1
St. Lucia,1
St. Martin (French part),0.92019
St. Vincent and the Grenadines,1
Sudan,0.80017
Suriname,1
Sweden,1
Switzerland,1
Syrian Arab Republic,0.82652
"Taiwan, China",0.99548
Tajikistan,1
Tanzania,0.24755
Thailand,1
Timor-Leste,0.80703
Togo,0.33156
Tonga,1
Trinidad and Tobago,0.9951
Tunisia,1
Turkey,1
Turkmenistan,1
Turks and Caicos Islands,0.89998
Tuvalu,1
Uganda,0.4009
Ukraine,0.90609
United Arab Emirates,0.99927
United Kingdom,0.99912
United States,1
Uruguay,0.69132
Uzbekistan,0.81562
Vanuatu,1
Venezuela,1
Vietnam,0.29607
Virgin Islands (U.S.),0.92019
West Bank and Gaza,0.86961
"Yemen, Rep.",1
Zambia,0.36555
Zimbabwe,0.3707
